Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Middle Gamma,Cognitive Load,Flow,Focus,Stress
13.608,10.601,7.837,6.306,8.57,8.274,7.376,7.544,0.971,0.415,0.367,0.575
13.155,12.062,10.808,9.769,9.228,10.596,10.231,10.409,0.45,0.433,0.427,0.671
14.376,11.792,10.123,8.841,8.685,9.415,8.561,8.578,0.563,0.544,0.308,0.425
14.272,12.546,8.978,9.887,9.885,10.301,9.67,10.484,0.701,0.418,0.389,0.702
14.544,12.381,11.393,11.768,9.843,10.14,9.986,10.479,0.285,0.534,0.395,0.486
12.846,11.351,8.348,9.599,8.17,9.049,8.066,8.41,0.597,0.56,0.288,0.442
12.412,11.519,8.516,8.869,10.313,10.335,10.566,10.013,0.693,0.219,0.59,0.932
14.134,12.638,10.806,10.3,9.383,9.555,9.051,10.127,0.49,0.619,0.268,0.462
14.8,12.78,10.498,8.922,9.213,9.95,9.854,9.925,0.679,0.566,0.269,0.612
13.677,11.48,10.586,10.623,10.851,10.288,10.201,10.565,0.306,0.251,0.644,0.681
13.707,10.839,9.218,7.747,9.012,8.274,8.456,8.29,0.618,0.451,0.373,0.573
11.744,10.391,9.907,9.109,8.282,8.979,8.445,8.444,0.323,0.455,0.446,0.481
13.354,11.547,9.323,11.126,9.456,10.024,10.179,11.04,0.381,0.401,0.474,0.772
14.561,12.232,10.964,11.226,9.969,10.181,9.912,10.531,0.338,0.467,0.431,0.545
14.432,13.684,11.708,11.646,10.782,10.924,10.299,10.578,0.449,0.508,0.364,0.446
10.495,10.439,8.912,8.157,7.48,7.892,6.904,7.8,0.531,0.644,0.239,0.351
13.924,12.491,10.256,9.752,9.266,10.425,9.159,10.916,0.571,0.486,0.353,0.623
14.036,11.138,10.591,9.363,10.948,9.9,9.069,10.689,0.36,0.203,0.677,0.681
13.611,10.433,10.64,9.025,10.184,10.012,8.854,10.414,0.272,0.167,0.747,0.697
13.206,10.203,10.231,8.692,8.886,8.45,8.077,9.11,0.3,0.416,0.488,0.533
13.378,10.755,10.103,9.621,9.801,10.275,10.189,10.672,0.319,0.22,0.671,0.842
13.783,11.655,9.261,8.793,8.609,8.912,7.968,9.678,0.639,0.569,0.273,0.545
12.895,10.621,8.162,9.864,9.25,9.966,10.465,10.73,0.459,0.241,0.608,1
13.186,13.012,10.057,8.877,9.573,9.799,10.322,10.429,0.772,0.563,0.257,0.728
14.2,12.284,10.779,10.477,9.504,9.824,10.013,10.946,0.423,0.534,0.35,0.647
13.394,9.683,8.482,9.999,7.544,8.278,7.361,8.049,0.251,0.522,0.416,0.392
13.578,11.718,8.474,8.564,9.147,8.753,7.769,9.553,0.774,0.51,0.3,0.573
13.511,11.669,9.935,9.502,9.792,9.794,9.712,10.553,0.495,0.377,0.465,0.734
12.619,11.647,10.105,10.863,10.158,10.405,9.459,11.037,0.351,0.318,0.56,0.658
13.445,11.046,10.111,10.132,10.169,9.677,8.684,11.229,0.32,0.294,0.595,0.684
14.23,10.938,11.163,9.634,9.95,10.308,9.543,10.499,0.257,0.257,0.655,0.669
12.427,11.506,10.153,9.562,10.428,9.72,9.39,9.925,0.441,0.308,0.545,0.626
10.309,10.067,9.307,10.086,10.107,10.013,8.803,10.466,0.235,0.12,0.816,0.742
12.99,10.667,10.477,9.612,9.953,9.8,9.804,9.8,0.273,0.251,0.655,0.688
14.344,12.469,10.69,8.881,8.6,9.54,9.694,10.423,0.612,0.647,0.22,0.657
14.203,10.947,8.972,9.647,9.484,9.177,9.57,9.057,0.455,0.357,0.494,0.663
13.965,11.711,8.125,9.317,9.384,9.124,8.841,9.221,0.722,0.45,0.358,0.629
12.916,10.675,8.317,8.541,9.15,8.455,7.99,9.287,0.6,0.388,0.433,0.655
13.256,12.124,8.874,9.111,8.496,8.562,8.576,8.965,0.73,0.692,0.168,0.508
12.317,13.596,10.635,9.608,9.998,10.6,10.259,9.696,0.722,0.536,0.286,0.531
14.585,13.966,12.054,10.195,10.56,10.225,10.595,11.226,0.582,0.605,0.257,0.574
13.04,10.53,9.759,10.302,9.796,9.681,9.588,10.87,0.254,0.261,0.653,0.79
12.175,12.219,10.835,9.476,10.103,10.138,9.423,9.828,0.499,0.403,0.441,0.538
12.455,12.084,10.034,9.977,9.457,11.005,9.257,9.754,0.506,0.357,0.481,0.54
10.516,10.691,9.946,9.031,9.199,10.379,8.866,9.552,0.377,0.24,0.632,0.633
12.903,11.223,8.276,8.939,10.048,9.716,9.544,9.619,0.659,0.255,0.556,0.807
11.924,11.697,9.403,10.428,9.479,9.757,9.406,9.547,0.461,0.428,0.428,0.569
10.166,10.32,8.364,9.493,9.863,10.719,9.37,10.648,0.423,0.074,0.811,0.927
13.352,11.736,8.885,10.263,10.421,10.363,10.218,10.245,0.535,0.265,0.566,0.77
12.742,13.262,10.896,10.509,9.093,9.229,9.047,9.293,0.556,0.783,0.14,0.333
13.731,11.219,9.317,9.837,8.789,8.462,7.523,8.913,0.448,0.576,0.311,0.373
14.699,11.975,9.602,9.373,8.039,8.468,8.734,8.497,0.593,0.776,0.136,0.424
12.516,10.963,10.1,10.808,9.438,10.205,10.048,10.96,0.252,0.325,0.589,0.759
12.135,10.349,8.203,8.892,7.866,7.89,7.736,8.055,0.511,0.577,0.294,0.485
12.815,10.793,9.278,9.401,9.964,9.717,9.099,9.988,0.423,0.235,0.624,0.721
12.177,9.999,9.074,8.524,7.537,8.063,8.221,9.223,0.392,0.564,0.335,0.67
11.4,9.828,9.02,9.202,9.903,9.626,9.832,10.32,0.3,0.11,0.803,0.953
12.788,10.213,9.749,9.229,10.091,10.504,9.008,10.151,0.296,0.085,0.836,0.75
13.369,11.516,10.009,9.265,7.928,9.198,9.276,9.967,0.486,0.637,0.255,0.647
13.073,10.517,8.963,8.27,8.363,8.287,7.583,8.787,0.527,0.489,0.361,0.532
11.556,11.622,9.638,9.67,9.748,9.56,9.039,9.803,0.5,0.397,0.446,0.595
12.622,10.48,9.52,9.697,8.913,8.878,7.877,8.856,0.319,0.41,0.486,0.446
12.911,12.07,9.32,9.763,9.998,9.62,9.412,10.483,0.597,0.417,0.407,0.692
12.914,13.233,10.346,9.202,9.638,9.274,9.525,9.912,0.739,0.656,0.192,0.542
13.442,10.912,8.125,7.78,7.93,8.652,8.05,8.417,0.768,0.522,0.291,0.611
13.06,11.874,8.002,9.675,10.332,9.335,9.709,9.375,0.722,0.359,0.441,0.715
12.89,11.664,10.095,8.608,8.895,9.492,10.242,9.83,0.569,0.486,0.353,0.765
11.649,11.824,9.915,8.692,9.232,9.316,9.761,9.88,0.607,0.487,0.345,0.714
14.508,12.024,8.739,7.836,9.943,9.916,8.705,9.635,0.894,0.349,0.436,0.7
9.94,9.913,5.425,9.549,9.556,9.067,9.489,10.286,0.692,0.139,0.684,1
11.538,10.982,10.008,9.6,9.138,9.795,9.052,9.359,0.366,0.361,0.515,0.571
12.854,10.076,7.936,7.963,8.36,7.987,6.991,9.476,0.601,0.42,0.404,0.676
10.685,10.237,8.883,10.538,10.104,9.327,9.689,9.081,0.261,0.208,0.706,0.673
12.052,11.338,8.609,9.93,9.796,10.364,9.338,8.786,0.531,0.258,0.574,0.587
12.764,10.698,9.834,8.469,8.628,8.735,9.668,8.964,0.444,0.461,0.404,0.704
13.506,11.978,10.89,9.273,10.269,10.237,10.438,9.751,0.475,0.343,0.502,0.657
14.191,11.89,8.873,9.581,9.62,10.129,9.439,9.432,0.635,0.368,0.446,0.637
14.06,11.741,10.03,10.238,8.732,9.149,9.834,10.157,0.428,0.604,0.295,0.646
12.396,11.304,8.778,9.414,8.9,10.099,10.23,10.671,0.562,0.359,0.468,0.921
9.95,11.132,9.465,9.285,9.997,9.536,8.789,9.856,0.474,0.296,0.549,0.644
13.82,12.093,10.785,10.739,11.849,11.723,9.8,9.242,0.372,0.125,0.762,0.455
14.352,11.521,8.877,10.057,9.642,9.322,8.152,7.709,0.521,0.41,0.429,0.306
13.309,11.958,10.092,10.339,9.896,10.275,10.304,10.11,0.447,0.381,0.474,0.664
13.409,11.792,9.188,6.92,8.682,9.715,9.012,10.348,0.915,0.453,0.335,0.873
12.859,11.345,10.245,10.809,10.345,9.306,10.018,10.128,0.299,0.376,0.524,0.637
10.422,9.92,9.584,9.698,8.735,9.29,9.337,8.909,0.221,0.309,0.617,0.647
11.785,11.067,8.924,7.03,10.088,9.362,8.457,10.04,0.793,0.245,0.552,0.842
10.532,10.184,7.812,8.734,10.233,9.826,9.948,9.268,0.543,0.075,0.784,0.954
12.544,10.854,10.494,9.544,9.619,9.588,9.665,10.318,0.308,0.329,0.565,0.719
12.082,10.224,9.912,9.512,9.227,10.668,8.89,9.647,0.259,0.161,0.758,0.648
10.174,10.151,9.539,9.655,9.814,9.454,9.979,10.094,0.267,0.206,0.706,0.84
11.348,9.445,10.547,9.954,10.332,10.078,9.678,9.948,0.049,0.05,0.994,0.747
9.638,10.511,9.322,8.526,9.205,9.555,9.203,10.013,0.458,0.267,0.582,0.819
12.896,11.712,9.438,9.45,9.491,9.069,9.527,10.3,0.558,0.478,0.362,0.722
13.501,11.697,10.91,9.527,9.86,9.988,9.397,10.508,0.405,0.381,0.485,0.629
12.975,10.715,9.119,7.885,7.172,8.18,7.981,7.738,0.59,0.688,0.196,0.457
12.812,11.001,10.289,8.421,8.746,8.712,8.439,9.218,0.455,0.505,0.365,0.547
14.349,12.235,10.763,11.523,10.467,9.811,10.009,9.648,0.331,0.456,0.442,0.465
14.268,12.295,12.166,11.61,11.472,10.951,10.274,10.798,0.229,0.299,0.624,0.513
13.927,12.106,9.63,11.028,9.325,9.581,9.278,9.493,0.449,0.541,0.337,0.477
10.408,8.535,9.023,7.026,6.839,7.062,6.107,6.851,0.276,0.518,0.411,0.326
13.267,10.239,9.225,7.99,7.766,7.391,8.418,7.553,0.477,0.651,0.248,0.505
13.362,11.794,11.057,10.447,9.151,9.098,9.145,9.608,0.329,0.609,0.321,0.445
13.533,10.552,9.413,11.088,9.166,9.477,9.273,9.778,0.221,0.367,0.562,0.609
13.001,12.061,8.644,8.438,8.45,9.403,8.418,9.555,0.832,0.566,0.248,0.62
14.851,12.924,11.496,10.781,10.685,9.836,10.101,10.506,0.43,0.512,0.366,0.517
13.429,13.375,12.083,11.155,10.961,10.175,10.034,10.659,0.416,0.527,0.357,0.451
13.352,12.554,10.977,8.72,10.053,8.686,9.127,9.084,0.613,0.591,0.262,0.45
12.862,12.653,9.462,8.689,9.971,9.558,9.608,10.111,0.804,0.485,0.317,0.697
